time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/22/2018 21:50,traces/generated/5to10twothree/0099.trace,125,7,1,2,10,F(x0),7.612197433,F(x0),,1320,7.612197433,"(1320,7.612197433)"
5/22/2018 20:43,traces/generated/5to10twothree/0101.trace,150,10,1,2,10,F(x0),9.044692107,F(x0),,1600,9.044692107,"(1600,9.044692107)"
5/22/2018 19:57,traces/generated/5to10twothree/0103.trace,175,7,1,2,10,F(x0),10.22610444,F(x0),,1820,10.22610444,"(1820,10.22610444)"
5/22/2018 22:22,traces/generated/5to10twothree/0105.trace,200,10,1,2,10,F(x0),11.84327214,F(x0),,2100,11.84327214,"(2100,11.84327214)"
5/22/2018 21:30,traces/generated/5to10twothree/0107.trace,225,8,1,2,10,F(x0),13.04756089,F(x0),,2330,13.04756089,"(2330,13.04756089)"
5/22/2018 22:01,traces/generated/5to10twothree/0109.trace,250,17,1,2,10,F(x0),14.77222341,F(x0),,2670,14.77222341,"(2670,14.77222341)"
5/22/2018 20:22,traces/generated/5to10OneThree/0044.trace,5,5,4,3,5,"G(->(x1,G(!(x0))))",7.988028742,"U(X(x2),!(x0))",,50,7.988028742,"(50,7.988028742)"
5/22/2018 19:16,traces/generated/5to10OneThree/0046.trace,25,25,4,3,5,"G(->(x1,G(!(x0))))",214.1891409,"!(F(&(x1,U(x1,x0))))",,250,214.1891409,"(250,214.1891409)"
5/22/2018 20:33,traces/generated/5to10OneThree/0048.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,500,600,"(500,600)"
5/22/2018 19:20,traces/generated/5to10OneThree/0050.trace,75,75,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,750,600,"(750,600)"
5/22/2018 20:48,traces/generated/5to10OneThree/0052.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1000,600,"(1000,600)"
5/22/2018 22:54,traces/generated/5to10OneThree/0054.trace,125,125,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1250,600,"(1250,600)"
5/23/2018 0:55,traces/generated/5to10OneThree/0056.trace,150,150,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1500,600,"(1500,600)"
5/22/2018 22:39,traces/generated/5to10OneThree/0058.trace,175,175,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1750,600,"(1750,600)"
5/23/2018 1:12,traces/generated/5to10OneThree/0060.trace,200,200,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2000,600,"(2000,600)"
