time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat
5/22/18 19:13,traces/generated/5to10OneThree/0008.trace,100,100,2,2,5,G(!(x0)),18.06723694,G(!(x0)),
5/22/18 19:20,traces/generated/5to10OneThree/0004.trace,50,50,2,2,5,G(!(x0)),9.049416033,G(!(x0)),
5/22/18 19:32,traces/generated/5to10OneThree/0012.trace,150,150,2,2,5,G(!(x0)),27.58845193,!(F(x0)),
5/22/18 19:36,traces/generated/5to10OneThree/0009.trace,5,100,2,2,10,G(!(x0)),27.59454412,G(!(x0)),
5/22/18 19:51,traces/generated/5to10OneThree/0005.trace,2,50,2,2,10,G(!(x0)),13.52912098,G(!(x0)),
5/22/18 20:12,traces/generated/5to10OneThree/0013.trace,4,150,2,2,10,G(!(x0)),40.18596201,G(!(x0)),
5/22/18 20:33,traces/generated/5to10OneThree/0006.trace,75,75,2,2,5,G(!(x0)),13.88217218,G(!(x0)),
5/22/18 21:01,traces/generated/5to10OneThree/0010.trace,125,125,2,2,5,G(!(x0)),23.01772135,G(!(x0)),
5/22/18 21:12,traces/generated/5to10OneThree/0007.trace,7,75,2,2,10,G(!(x0)),21.30148176,G(!(x0)),
5/22/18 22:06,traces/generated/5to10OneThree/0011.trace,8,125,2,2,10,G(!(x0)),34.68539774,G(!(x0)),
5/22/18 22:07,traces/generated/5to10OneThree/0021.trace,14,250,2,2,10,G(!(x0)),69.31923643,G(!(x0)),
5/22/18 22:08,traces/generated/5to10OneThree/0000.trace,5,5,2,2,5,G(!(x0)),0.925661935,G(!(x0)),
5/22/18 22:28,traces/generated/5to10OneThree/0016.trace,200,200,2,2,5,G(!(x0)),37.4091498,!(F(x0)),
5/22/18 23:09,traces/generated/5to10OneThree/0020.trace,250,250,2,2,5,G(!(x0)),45.70417055,G(!(x0)),
5/22/18 23:27,traces/generated/5to10OneThree/0017.trace,8,200,2,2,10,G(!(x0)),54.74402815,G(!(x0)),
5/23/18 0:18,traces/generated/5to10OneThree/0002.trace,25,25,2,2,5,G(!(x0)),4.723850485,!(F(x0)),
5/23/18 0:42,traces/generated/5to10OneThree/0014.trace,175,175,2,2,5,G(!(x0)),32.01091172,!(F(x0)),
5/23/18 0:49,traces/generated/5to10OneThree/0018.trace,225,225,2,2,5,G(!(x0)),41.74354436,G(!(x0)),
5/23/18 1:05,traces/generated/5to10OneThree/0003.trace,1,25,2,2,10,G(!(x0)),7.067362176,!(F(x0)),
5/23/18 1:32,traces/generated/5to10OneThree/0015.trace,10,175,2,2,10,G(!(x0)),48.15656359,G(!(x0)),
5/23/18 1:43,traces/generated/5to10OneThree/0019.trace,14,225,2,2,10,G(!(x0)),62.97098414,!(F(x0)),
