time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,solving time,specified formula,obtained formula,comment
2018-03-13 02:14,"traces/generated/moreDetailedTest/abscence+G(->(x1, G(!(x0))))+500.trace",500,500,4,3,5,/,"G(->(x1,G(!(x0))))",/,timeout
2018-03-13 02:24,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+300.trace",300,300,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 02:34,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+250.trace",155,250,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-13 02:45,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+150.trace",107,150,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-13 02:58,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+175.trace",116,175,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-13 03:13,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+200.trace",200,200,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 03:30,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+400.trace",400,400,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 03:49,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+350.trace",350,350,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 04:12,"traces/generated/moreDetailedTest/universality+G(->(x1, G(x0)))+400.trace",400,400,3,3,5,/,"G(->(x1,G(x0)))",/,timeout
2018-03-13 04:22,"traces/generated/moreDetailedTest/abscence+G(->(x1, G(!(x0))))+200.trace",200,200,4,3,5,/,"G(->(x1,G(!(x0))))",/,timeout
